geoName,Digital transformation solution
Telangana,100
Tamil Nadu,85
Karnataka,83
Maharashtra,77
Uttar Pradesh,45
Kerala,6
Odisha,0
Manipur,0
Meghalaya,0
Mizoram,0
Nagaland,0
Andaman and Nicobar Islands,0
Puducherry,0
Madhya Pradesh,0
Rajasthan,0
Sikkim,0
Tripura,0
Uttarakhand,0
Punjab,0
Lakshadweep,0
Andhra Pradesh,0
Jharkhand,0
Jammu and Kashmir,0
Himachal Pradesh,0
Haryana,0
Gujarat,0
Goa,0
Delhi,0
Daman and Diu,0
Dadra and Nagar Haveli,0
Chhattisgarh,0
Chandigarh,0
Bihar,0
Assam,0
Arunachal Pradesh,0
West Bengal,0
