date,Digital transformation solution services,Digital transformation solution use cases,Digital transformation solution,Digital transformation solution for business,Digital transformation solution tools,isPartial
2025-01-26,0,0,0,0,0,False
2025-02-02,0,0,0,0,0,False
2025-02-09,0,0,0,0,0,False
2025-02-16,0,0,0,0,0,False
2025-02-23,0,0,0,0,0,False
2025-03-02,0,0,0,0,0,False
2025-03-09,0,0,0,0,0,False
2025-03-16,0,0,0,0,0,False
2025-03-23,0,0,0,0,0,False
2025-03-30,0,0,0,0,0,False
2025-04-06,0,0,0,0,0,False
2025-04-13,0,0,0,0,0,False
2025-04-20,0,0,0,0,0,False
2025-04-27,0,0,0,0,0,False
2025-05-04,0,0,0,0,0,False
2025-05-11,0,0,0,0,0,False
2025-05-18,0,0,91,0,0,False
2025-05-25,0,0,0,0,0,False
2025-06-01,0,0,0,0,0,False
2025-06-08,0,0,0,0,0,False
2025-06-15,0,0,0,0,0,False
2025-06-22,0,0,0,0,0,False
2025-06-29,0,0,0,0,0,False
2025-07-06,0,0,0,0,0,False
2025-07-13,0,0,0,0,0,False
2025-07-20,0,0,0,0,0,False
2025-07-27,0,0,0,0,0,False
2025-08-03,0,0,0,0,0,False
2025-08-10,0,0,0,0,0,False
2025-08-17,0,0,0,0,0,False
2025-08-24,0,0,0,0,0,False
2025-08-31,0,0,0,0,0,False
2025-09-07,0,0,0,0,0,False
2025-09-14,0,0,0,0,0,False
2025-09-21,0,0,0,0,0,False
2025-09-28,0,0,0,0,0,False
2025-10-05,0,0,0,0,0,False
2025-10-12,0,0,0,0,0,False
2025-10-19,0,0,0,0,0,False
2025-10-26,0,0,0,0,0,False
2025-11-02,0,0,0,0,0,False
2025-11-09,0,0,100,0,0,False
2025-11-16,0,0,0,0,0,False
2025-11-23,0,0,0,0,0,False
2025-11-30,0,0,0,0,0,False
2025-12-07,0,0,0,0,0,False
2025-12-14,0,0,0,0,0,False
2025-12-21,0,0,0,0,0,False
2025-12-28,0,0,0,0,0,False
2026-01-04,0,0,0,0,0,False
2026-01-11,0,0,0,0,0,False
2026-01-18,0,0,17,0,0,False
2026-01-25,0,0,11,0,0,True
